"Subject area",Topic,"Document count","Reason highlighted"
"Economy, Business And Finance",Carpool,4,"seen more often than expected in this context"
"Economy, Business And Finance","Global Positioning System",6,"seen more often than expected in this context"
"Economy, Business And Finance","World population",7,"seen more often than expected in this context"
"Economy, Business And Finance","Urban area",5,"seen more often than expected in this context"
"Economy, Business And Finance","Conceptual model",3,"seen more often than expected in this context"
"Economy, Business And Finance","Bicycle-sharing system",3,"seen more often than expected in this context"
"Economy, Business And Finance","Extreme weather",3,"seen more often than expected in this context"
"Economy, Business And Finance","Mode of transport",3,"seen more often than expected in this context"
"Economy, Business And Finance","Road pricing",3,"seen more often than expected in this context"
"Economy, Business And Finance",England,3,"seen more often than expected in this context"
"Economy, Business And Finance","Universal design",3,"seen more often than expected in this context"
"Economy, Business And Finance","Vision Zero",3,"seen more often than expected in this context"
"Economy, Business And Finance","IZA Institute of Labor Economics",3,"seen more often than expected in this context"
"Economy, Business And Finance",Dementia,3,"seen more often than expected in this context"
"Economy, Business And Finance","Internal rate of return",3,"seen more often than expected in this context"
Education,"Survey methodology",5,"seen more often than expected in this context"
Education,Finland,4,"seen more often than expected in this context"
Education,"Government spending",4,"seen more often than expected in this context"
Education,"Health system",4,"seen more often than expected in this context"
Education,Insurance,4,"seen more often than expected in this context"
Education,"Normal distribution",4,"seen more often than expected in this context"
Education,"Rural area",4,"seen more often than expected in this context"
Education,School,4,"seen frequently"
Education,Sweden,4,"seen more often than expected in this context"
Education,"Total fertility rate",4,"seen more often than expected in this context"
Education,"Bike path",3,"seen more often than expected in this context"
Education,"Child care",3,"seen more often than expected in this context"
Education,Communication,3,"seen frequently"
Education,Discrimination,3,"seen more often than expected in this context"
Education,"Human capital",3,"seen more often than expected in this context"
Education,Law,3,"seen frequently"
Education,Methodology,3,"seen more often than expected in this context"
Education,Physics,3,"seen more often than expected in this context"
Education,"Sparse matrix",3,"seen more often than expected in this context"
Education,"Rapid transit",3,"seen more often than expected in this context"
Education,"Population decline",3,"seen more often than expected in this context"
Education,"Probability distribution",3,"seen more often than expected in this context"
Education,"Social norm",3,"seen more often than expected in this context"
Education,Road,3,"seen more often than expected in this context"
Education,Simulation,3,"seen more often than expected in this context"
Education,"Sampling (statistics)",3,"seen more often than expected in this context"
Education,"United Kingdom",3,"seen more often than expected in this context"
Education,Salary,3,"seen more often than expected in this context"
Environment,"Climate change mitigation",9,"seen frequently"
Environment,Nature,8,"seen frequently"
Environment,"Sustainable Development Goals",7,"seen more often than expected in this context"
Environment,"Earth sciences",6,"seen frequently"
Environment,Pollution,6,"seen frequently"
Environment,"Effects of climate change",5,"seen more often than expected in this context"
Environment,"Electric vehicle",5,"seen more often than expected in this context"
Environment,Energy,5,"seen frequently"
Environment,"Energy conservation",5,"seen more often than expected in this context"
Environment,Hazard,5,"seen more often than expected in this context"
Environment,"Low-carbon economy",5,"seen more often than expected in this context"
Environment,"Physical geography",5,"seen frequently"
Environment,Sea,5,"seen more often than expected in this context"
Environment,Water,5,"seen frequently"
Environment,"Active mobility",4,"seen more often than expected in this context"
Environment,"Carbon dioxide",4,"seen more often than expected in this context"
Environment,Climate,4,"seen more often than expected in this context"
Environment,"Diesel engine",4,"seen more often than expected in this context"
Environment,Ecology,4,"seen frequently"
Environment,"Ecosystem service",4,"seen more often than expected in this context"
Environment,"Environmental science",4,"seen frequently"
Environment,Exercise,4,"seen more often than expected in this context"
Environment,Forest,4,"seen frequently"
Environment,"Greenhouse gas emissions",4,"seen frequently"
Environment,"Heat wave",4,"seen more often than expected in this context"
Environment,"Intergovernmental Panel on Climate Change",4,"seen more often than expected in this context"
Environment,"Invasive species",4,"seen more often than expected in this context"
Environment,"Mode of transport",4,"seen more often than expected in this context"
Environment,"Ocean acidification",4,"seen more often than expected in this context"
Environment,Particulates,4,"seen more often than expected in this context"
Environment,Photovoltaics,4,"seen more often than expected in this context"
Environment,Precipitation,4,"seen more often than expected in this context"
Environment,"Sea level rise",4,"seen more often than expected in this context"
Environment,"Social vulnerability",4,"seen more often than expected in this context"
Environment,Vehicle,4,"seen more often than expected in this context"
Environment,"Water resources",4,"seen more often than expected in this context"
Environment,"World energy consumption",4,"seen more often than expected in this context"
Environment,"Climate change adaptation",3,"seen frequently"
Environment,"Climate change vulnerability",3,"seen more often than expected in this context"
Environment,"Climate variability and change",3,"seen more often than expected in this context"
Environment,"Coral reef",3,"seen more often than expected in this context"
Environment,Drought,3,"seen more often than expected in this context"
Environment,"Earth phenomena",3,"seen more often than expected in this context"
Environment,"Ecological resilience",3,"seen more often than expected in this context"
Environment,"Economics of climate change mitigation",3,"seen more often than expected in this context"
Environment,Ecosystem,3,"seen frequently"
Environment,"Energy development",3,"seen frequently"
Environment,Environment,3,"seen frequently"
Environment,"Environmental technology",3,"seen frequently"
Environment,"General circulation model",3,"seen more often than expected in this context"
Environment,"Green infrastructure",3,"seen more often than expected in this context"
Environment,Groundwater,3,"seen frequently"
Environment,Habitat,3,"seen frequently"
Environment,"IPCC Fifth Assessment Report",3,"seen more often than expected in this context"
Environment,"Standard score",3,"seen more often than expected in this context"
Environment,"Mobility as a service",3,"seen more often than expected in this context"
Environment,"Shared transport",3,"seen more often than expected in this context"
Environment,"Special Report on Emissions Scenarios",3,"seen more often than expected in this context"
Environment,"Spatial analysis",3,"seen more often than expected in this context"
Environment,"Representative Concentration Pathway",3,"seen more often than expected in this context"
Environment,"Traffic collision",3,"seen more often than expected in this context"
Environment,"IPCC Fourth Assessment Report",3,"seen more often than expected in this context"
Environment,"Storm surge",3,"seen more often than expected in this context"
Environment,Well-being,3,"seen more often than expected in this context"
Environment,Vulnerability,3,"seen more often than expected in this context"
Environment,"Quantitative research",3,"seen more often than expected in this context"
Environment,"Urban heat island",3,"seen more often than expected in this context"
Environment,Storm,3,"seen more often than expected in this context"
Environment,Walkability,3,"seen more often than expected in this context"
Environment,"Quality of life",3,"seen more often than expected in this context"
Environment,"Traffic congestion",3,"seen more often than expected in this context"
Environment,"Road traffic safety",3,"seen more often than expected in this context"
Environment,"Indoor air quality",3,"seen more often than expected in this context"
Environment,Population,3,"seen more often than expected in this context"
Environment,Pedestrian,3,"seen more often than expected in this context"
Environment,"Nature-based solutions",3,"seen more often than expected in this context"
Environment,Simulation,3,"seen more often than expected in this context"
Environment,"Tropical cyclone",3,"seen more often than expected in this context"
Environment,"Social exclusion",3,"seen more often than expected in this context"
Environment,Ocean,3,"seen more often than expected in this context"
Environment,"Sustainable transport",3,"seen more often than expected in this context"
Environment,Traffic,3,"seen more often than expected in this context"
Environment,Wildfire,3,"seen more often than expected in this context"
Environment,"Poverty reduction",3,"seen more often than expected in this context"
Environment,Productivity,3,"seen more often than expected in this context"
Environment,Subsidy,3,"seen more often than expected in this context"
Health,Welfare,10,"seen frequently"
Health,"Systematic review",8,"seen frequently"
Health,"World population",8,"seen more often than expected in this context"
Health,Medicine,7,"seen frequently"
Health,"Tertiary sector of the economy",7,"seen more often than expected in this context"
Health,Unemployment,7,"seen frequently"
Health,"Evidence-based medicine",6,"seen frequently"
Health,Hospital,6,"seen frequently"
Health,Intersectionality,6,"seen more often than expected in this context"
Health,Pedestrian,6,"seen more often than expected in this context"
Health,"Standard deviation",6,"seen more often than expected in this context"
Health,"Traffic collision",6,"seen more often than expected in this context"
Health,Family,5,"seen frequently"
Health,Fortaleza,5,"seen more often than expected in this context"
Health,"Gender equality",5,"seen frequently"
Health,"Long-term care",5,"seen frequently"
Health,Manaus,5,"seen more often than expected in this context"
Health,"Old age",5,"seen frequently"
Health,"Porto Alegre",5,"seen more often than expected in this context"
Health,"Rio de Janeiro",5,"seen more often than expected in this context"
Health,Safety,5,"seen frequently"
Health,"Sistema Único de Saúde",5,"seen more often than expected in this context"
Health,Travel,5,"seen more often than expected in this context"
Health,"United States",5,"seen frequently"
Health,Urbanization,5,"seen more often than expected in this context"
Health,Alagoas,4,"seen more often than expected in this context"
Health,"Belo Horizonte",4,"seen more often than expected in this context"
Health,"Chronic condition",4,"seen frequently"
Health,"Clinical medicine",4,"seen frequently"
Health,Curitiba,4,"seen more often than expected in this context"
Health,Dementia,4,"seen frequently"
Health,"Sparse matrix",3,"seen more often than expected in this context"
Health,"Natal, Rio Grande do Norte",3,"seen more often than expected in this context"
Health,Goiânia,4,"seen more often than expected in this context"
Health,Recife,4,"seen more often than expected in this context"
Health,"Google Scholar",4,"seen more often than expected in this context"
Health,Autocorrelation,3,"seen more often than expected in this context"
Health,"Transportation planning",3,"seen more often than expected in this context"
Health,Paratransit,3,"seen more often than expected in this context"
Health,"Economies of scale",3,"seen more often than expected in this context"
Health,Belém,3,"seen more often than expected in this context"
Health,"Capital expenditure",3,"seen more often than expected in this context"
Health,Walking,4,"seen more often than expected in this context"
